1,Single_barline,Gclef,16_7,Sharp,16_6,Single_barline,16_7,Sharp,16_6,16_7,16_4,Natural,16_6,16_5,Single_barline,8_3,Rests16,16_-2,16_0,16_3,Single_barline,8_4,Rests16,16_0,Sharp,16_2,16_4,Single_barline,8_5,Rests16,16_0,16_7,Sharp,16_6,Single_barline,16_7,Sharp,16_6,16_7,16_4,Natural,16_6,16_5,Single_barline,8_3,Rests16,16_-2,16_0,16_3,Single_barline
2,Single_barline,Fclef,Rests8,Single_barline,Rests1,Single_barline,16_8,Rests16,Rests8,Single_barline,16_-2,16_5,Sharp,16_7,Rests16,Rests8,Single_barline,16_1,16_8,Rests16,Rests8,Single_barline,Rests1,Single_barline,16_1,16_8,Rests16,Rests8,Single_barline,,,,,,,,,,,,,,,,,,,,,
3,Single_barline,Gclef,8_4,Rests16,16_-1,16_5,16_4,Single_barline,4_3,8_3,Rests16,16_4,16_5,16_6,8_7,dot,16_2,16_8,32_7,Single_barline,8_6,dot,16_1,16_7,16_6,Single_barline,8_5,dot,16_0,16_6,16_5,Single_barline,8_4,Rests16,Rests16,16_7,Rests16,Single_barline,,,,,,,,,,,,
4,Single_barline,Fclef,16_-2,16_-2,Sharp,16_7,Rests16,Rests8,Single_barline,Rests16,16_8,Rests8,16_7,Rests16,Rests8,Single_barline,Rests8,Single_barline,Rests8,Single_barline,Rests16,Rests16,Rests16,Gclef,16_0,Single_barline,16_1,16_8,16_1,Rests16,16_3,Rests16,16_0,Rests16,16_1,16_8,Rests16,16_-2,16_5,,,,,,,,,,,
6,Single_barline,Gclef,Rests16,16_7,16_14,Rests16,Rests16,Sharp,16_6,Single_barline,8_7,Rests16,Sharp,16_6,16_7,16_6,Single_barline,16_7,Sharp,16_6,16_7,16_4,Natural,16_6,16_5,Single_barline,8_3,Rests16,16_-2,16_0,16_3,Single_barline,8_4,Rests16,16_0,Sharp,16_2,16_4,Single_barline,8_5,Rests16,16_0,16_7,Sharp,16_6,Single_barline,,,,
7,Single_barline,Gclef,16_7,Rests16,Rests16,Sharp,16_6,16_7,Rests16,Single_barline,Rests16,Sharp,16_6,16_7,Rests16,Rests8,Single_barline,Rests1,Fclef,Single_barline,16_8,Rests16,Rests8,Single_barline,16_-2,16_5,Sharp,16_7,Rests16,Rests8,Single_barline,16_8,Rests16,Rests8,Single_barline,16_1,16_5,16_1,16_5,,,,,,,,,,,
9,Single_barline,Gclef,16_7,Sharp,16_6,16_7,16_4,Natural,16_6,16_5,Single_barline,8_3,Rests16,16_-2,16_0,16_3,Single_barline,8_4,Rests16,16_-1,16_5,16_4,Single_barline,8_3,Rests16,16_4,16_5,16_6,8_3,Rests16,Single_barline,16_8,dot,32_7,Single_barline,,,,,,,,,,,,,,,
10,Single_barline,Fclef,Rests1,Single_barline,16_1,16_8,Rests16,Rests8,Single_barline,16_-2,16_5,Sharp,16_7,Rests16,Rests8,Single_barline,16_1,16_5,16_8,Rests16,Rests8,16_1,16_5,16_8,Flat,Single_barline,16_6,16_8,16_10,16_8,16_10,16_8,Single_barline,,,,,,,,,,,,,,,,,
11,Single_barline,Gclef,8_7,8_6,Flat,16_11,dot,32_10,Single_barline,16_10,16_9,16_8,16_7,16_6,16_5,Single_barline,Flat,8_4,8_3,16_3,32_2,32_3,32_4,Single_barline,4_5,16_6,Sharp,16_6,Single_barline,8_7,dot,16_7,16_8,16_3,Single_barline,4_5,16_6,dot,32_4,Single_barline,,,,,,,,,,
12,Single_barline,Fclef,16_6,Flat,16_9,16_11,16_9,16_11,16_9,Single_barline,16_6,16_12,Flat,16_12,Single_barline,16_6,16_8,16_10,16_8,16_10,16_8,Single_barline,16_6,16_8,16_10,16_8,16_10,16_8,Single_barline,16_5,16_8,16_6,Single_barline,16_7,16_12,16_7,16_13,16_7,16_13,Single_barline,Single_barline,,,,,,,,,
13,Single_barline,Gclef,32_5,32_7,32_2,32_4,32_6,32_9,Single_barline,32_7,32_9,16_11,32_10,32_9,32_8,32_7,32_6,32_8,32_6,Single_barline,32_2,32_7,16_9,32_9,32_6,Single_barline,32_7,32_9,32_11,32_10,32_9,32_8,32_7,32_6,32_9,32_8,32_6,Single_barline,,,,,,,,,,,,
14,Single_barline,Gclef,Rests16,Single_barline,Fclef,Gclef,Single_barline,Rests16,Single_barline,Fclef,Single_barline,8_-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
