1,Single_barline,Single_barline,Gclef,8_6,8_10,8_5,8_10,8_4,8_10,8_3,8_10,Single_barline,4_10,Sharp,8_9,Sharp,8_8,4_9,dot,8_10,Single_barline,1_10,Single_barline,8_12,8_5,8_6,8_5,8_7,8_5,8_8,8_5,Single_barline,8_9,8_5,8_10,8_5,8_11,8_5,8_12,8_5,Single_barline,,,,,,,,
2,Single_barline,Fclef,8_-3,8_4,8_8,8_6,8_11,8_6,8_8,8_6,Single_barline,8_-2,8_5,Sharp,8_12,8_7,8_9,8_7,Single_barline,8_1,8_8,8_12,8_10,8_13,8_10,8_12,8_10,Single_barline,8_1,8_8,8_12,8_10,8_10,8_12,8_10,Single_barline,8_-3,8_8,8_6,8_11,8_6,8_8,8_6,Single_barline,,,,,
3,Single_barline,Single_barline,Gclef,8_11,8_4,8_5,8_4,8_6,8_4,8_7,8_4,Single_barline,8_8,8_4,8_9,8_4,8_10,8_4,8_4,Single_barline,8_10,8_3,8_4,8_3,8_5,8_3,8_6,8_3,Single_barline,8_7,8_3,8_8,8_3,8_9,8_3,8_10,8_3,Single_barline,4_10,Sharp,8_8,Sharp,8_8,4_9,dot,8_10,Single_barline,,
4,Single_barline,Fclef,8_0,8_7,8_11,8_9,8_14,8_9,8_11,8_9,Single_barline,8_-4,8_3,8_7,8_5,8_10,8_5,8_7,8_5,Single_barline,8_-1,8_6,8_10,8_8,8_13,8_8,8_10,8_8,Single_barline,8_-3,8_4,8_8,8_6,8_11,8_6,8_8,8_6,Single_barline,8_-2,8_5,8_9,Sharp,8_7,8_12,8_7,8_9,8_7,Single_barline,
5,Single_barline,Gclef,1_10,Gclef,Single_barline,8_5,8_5,8_12,8_5,8_11,8_5,8_10,Single_barline,8_9,8_5,8_8,8_7,8_5,Single_barline,8_11,8_10,Single_barline,Single_barline,8_5,8_5,8_6,8_5,8_4,8_4,8_4,8_4,8_9,8_4,8_8,8_4,8_7,8_4,8_6,8_4,8_5,8_4,,,,,,,,
7,Single_barline,Fclef,8_1,8_8,8_12,8_10,8_10,8_10,8_12,8_10,Single_barline,8_1,8_8,8_12,8_10,8_13,8_10,8_12,8_10,Single_barline,8_-3,8_8,8_6,8_11,8_6,8_8,8_6,Single_barline,8_0,8_7,8_11,8_9,8_14,8_9,8_11,8_9,Single_barline,8_-4,8_3,8_7,8_5,8_10,8_5,8_7,8_5,Single_barline,,,
9,Single_barline,Gclef,8_3,8_3,8_10,8_3,8_9,8_3,8_8,8_3,Single_barline,8_7,8_3,8_5,8_3,Single_barline,Sharp,8_2,Sharp,8_1,4_2,dot,Single_barline,1_3,Single_barline,8_5,8_4,8_3,8_10,8_2,8_9,Single_barline,4_3,8_3,Gclef,8_12,8_11,,,,,,,,,,,,
10,Single_barline,Fclef,8_-1,8_6,8_10,8_8,8_13,8_8,8_10,8_8,Single_barline,8_-3,8_8,8_8,8_11,8_6,8_8,8_6,Single_barline,8_-2,8_5,8_8,Sharp,8_7,8_12,8_7,8_9,8_7,Single_barline,8_1,8_8,8_12,8_10,8_10,8_12,8_10,Single_barline,8_1,8_8,8_12,8_10,8_10,8_12,8_10,Single_barline,,,,
11,Single_barline,Single_barline,Single_barline,Gclef,8_6,8_-2,8_5,Single_barline,8_11,8_2,Single_barline,8_0,8_7,8_-1,8_6,8_-2,8_5,8_4,Gclef,Single_barline,8_10,Single_barline,8_-1,8_6,8_-2,8_5,8_4,8_3,Single_barline,8_1,8_8,8_0,8_7,8_-1,8_4,8_3,8_9,8_1,8_8,8_-3,8_3,8_2,8_9,8_1,8_8,8_0,Single_barline,8_-3,8_-4
13,Single_barline,Fclef,8_-3,8_4,8_8,8_6,8_11,8_6,8_8,8_6,Single_barline,8_0,8_7,8_11,8_9,8_14,8_9,8_11,8_9,Single_barline,8_-4,8_3,8_7,8_5,8_10,8_5,8_7,8_5,Single_barline,8_-1,8_6,8_10,8_6,8_10,8_8,8_10,8_8,Single_barline,8_-3,8_4,8_8,8_6,8_8,8_6,8_8,8_6,Single_barline,,
14,Single_barline,Gclef,4_3,Sharp,8_2,Sharp,8_1,4_2,dot,8_3,Single_barline,1_3,Single_barline,8_5,8_12,8_11,8_12,8_10,8_12,8_9,8_12,Single_barline,8_8,8_12,8_7,8_12,8_6,8_12,8_5,8_12,Single_barline,,,,,,,,,,,,,,,,,,
15,Single_barline,Fclef,8_-2,8_5,8_9,Sharp,8_12,8_7,8_9,8_7,Single_barline,8_1,8_8,8_12,8_10,8_10,8_10,8_12,8_10,Single_barline,8_1,8_8,8_12,8_10,8_13,8_10,8_12,8_10,Single_barline,8_-3,8_4,8_8,8_6,8_11,8_6,8_8,8_6,Single_barline,,,,,,,,,,,
